"x"
"betay";0,0058734020268214
"alphav";0,00461842831740787
"betaivd";0,00765050051948371
"lambdaicf";0,00510640500977314
"kappa01";0,00489848814438797
"kappa02";0,00726922420985477
"kappa03";0,00723477845146056
"kappa04";0,00548307860159087
"kappa1";0,00581559193370565
"betaikf";0,00608909796828249
"deltaf";0,00552051830299998
"sigmapc";0,00629402197491145
"sigmapcNew";0,00597818732936105
"epsilon1c";0,00540436784717777
"sigmaac";0,00593519860322504
"epsilon2c";0,00533762002556406
"betasigmamc";0,00561389867792946
"sigmapic";0,00607187439132098
"sigmapicNew";0,00565750985855012
"epsilon1ic";0,00574748336707357
"sigmaaic";0,00488819259505105
"epsilon2ic";0,00491342991403759
"betasigmamic";0,00576096690791955
"sigmapk";0,00669479799376318
"sigmapkNew";0,00535855736718061
"epsilon1k";0,00463450352176747
"sigmaak";0,0061446014600696
"epsilon2k";0,00566705782290736
"betasigmamk";0,00498492621006331
"sigmamSpeed";0,00494509343215313
"sigmamInit";0,0064380570429191
"sigmaxnp";0,00504501916622463
"epsilonxn1";0,00497495127149881
"sigmaxna";0,00572221357132327
"epsilonxn2";0,0053599007119005
"betasigmaxn";0,00475772338683629
"sigmaxnpNew";0,00556169070798
"sigmaxnSpeed";0,00522729386846439
"sigmaxnInit";0,00478338629378774
"mu0";0,0687796531364736
"mu1";0,00497065264456265
"betahuc";0,00469459102179343
"betap";0,00719103770824772
"thetaGh";0,00623521917090003
"thetaGg";0,00601030194626366
"betaHmi";0,00617698955870573
"omegaf0";0,00547153125122266
"omegaf1";0,00743886007254569
"omegaf2";0,00637911843266289
"omegaf3";0,0108403299845201
"thetawf";0,00588362977769981
"alphaa";0,00517499726051455
"alphapop";0,00540882627137592
"ipsilon0w";0,00503419441807346
"ipsilon1w";0,00641423711095526
"ipsilon0g";0,00646185987397351
"ipsilon1g";0,00589257374805623
"sf";0,00449159990510261
"etadf";0,00565933466674513
"betaDf";0,00592368763461735
"etadfxf";0,00582722228975644
"betaDfx";0,00643573794509846
"etalfxfb";0,00487438144543653
"etalfxfw";0,00466995827447412
"betariskFFX";0,00492879660024632
"UBFFX";0,00634138217662938
"LBFFX";0,0067588370805995
"MPFFX";0,0068347085527865
"ratFFX";0,00576191600708755
"comH";0,00583066145567157
"comF";0,00513945928858625
"InsH";0,00555566781834482
"InsF";0,00659779570729505
"lambdaicb1";0,00615022178170072
"lambdaicb2";0,00607762262273828
"lambdaicb3";0,00611171827913169
"lambdaicb4";0,00625173555713737
"etab";0,00645832128186205
"kappaib";0,00583213023964683
"deltab";0,00645019371878938
"omegab0";0,00714401987993739
"omegab1";0,00436277527638318
"thetawb";0,005272773683286
"car";0,00581423322142241
"betaof";0,00552386474610658
"etadbfx";0,00533657778651139
"betadfxb";0,00739946255343253
"rho0";0,0169230389753049
"rho1";0,0150928248923604
"rho2";0,00508606189437977
"rho3";0,00497870402454138
"mdf";0,00692470802409134
"mdh";0,00574067479965462
"zeta0";0,00483922057188789
"zeta1";0,00546049528169041
"zeta2";0,00564049227688327
"betapremf";0,00627557743650196
"chi0";0,00533685433177865
"chi1";0,00555311291404984
"chi2";0,0055846301809293
"betapremh";0,00492660147651386
"zetafx2";0,00510640500977314
"zetafx0";0,00626735943179158
"zetafx1";0,00585636808330851
"rhofx1";0,00555112028100893
"rhofx2";0,00580776449049423
"betadfxb.1";0,00571078255690441
"etalxfbw";0,00496457223180335
"betariskBFX";0,00570514220368163
"UBBFX";0,00475046502085995
"LBBFX";0,0063931386723503
"MPBFX";0,00552630046749587
"lr";0,00610902195296743
"iota0";0,00693058316250474
"iota1";0,00565147025134756
"iota2";0,00586513369272042
"betaip";0,00540284432704471
"pirfx";0,00481644781048826
"pirfxb";0,00468633670501922
"sigmaRfxb";0,00612321315166994
"phisc";0,00535558767486736
"betacon";0,0056173485232783
"lambdal0";0,00513686390371926
"lambdal1";0,00547620967922885
"mpcUB";0,0351713608070552
"mpcLB";0,0144959013476531
"betaLdch";0,00554179061499447
"thetal3";0,00557292939925935
"kappah0";0,00599954399073207
"kappah1";0,00672573753985775
"kappah2";0,0045763071807875
"betaIh";0,00740081538348907
"deltah";0,00547341038924193
"zetaitr";0,00562155787547843
"tauf";0,00580471061863682
"taub";0,0056938954669746
"tauw";0,00496791333103767
"betataum";0,00564176826878984
"tauvat";0,00508957414539963
"tauothc";0,00558023783144099
"tauothi";0,00500475318155113
"tauothk";0,00453476946805958
"tauyf";0,00494309816274037
"tauyb";0,00470172600897429
"taur";0,00529785665501231
"phiscg";0,00639295754270429
"omegag0";0,00591561295290124
"omegag1";0,00564808402535833
"thetawg";0,00527455167900841
"etag";0,00581821602131255
"lambdaicg1";0,00596461790095921
"lambdaicg2";0,00631192902638942
"lambdaicg3";0,00672657466184513
"lambdaicg4";0,00498133628744665
"kappag";0,00569084973339438
"kappagmin";0,00558024722238992
"alphafr";0,00463163606761582
"gammafr";0,00631355068371822
"fdr";0,00600361031308247
"dfr";0,00502374731169927
"FRactive";0,00510640500977314
"deltag";0,00531815600749496
"betaIkg";0,0071122983157541
"fi2";0,00539262320255668
"betaCg";0,00538383741253028
"fi3";0,00730220255466806
"fi4";0,00713758664014294
"fistg";0,0060240723528167
"fi1";0,00540352686249808
"betaDg";0,00567533510953924
"fi5";0,00616626206727368
"betaDcbg";0,00445079538191126
"etadfxg";0,00581689226263278
"betaDfxg";0,00551734830247329
"sigmaG0";0,00634844296064062
"sigmaG1";0,00644394186603385
"betasigmafx";0,0069203709786546
"zetabgfx";0,00561339675625009
"phi0d";0,00567253992844983
"phi1";0,00595638139139033
"phi2";0,00527493940389976
"betapremgd";0,00475599653247018
"rhofx3";0,00520870735345104
"rhofx4";0,00573723999471503
"sigmaRem";0,00456453872737977
"varsigmafdi1";0,00562346998141564
"varsigmafdi2";0,0047435207578983
"varsigmafdi3";0,00572250583424377
"varsigmafdi4";0,00593530750982613
"zetaff";0,00692775651486068
"shrGreenField";0,00679052411410803
"v1";0,00540219318376352
"v2";0,00705153081513528
"zetabg";0,00644275818310612
"betaen";0,0056298752220912
"betaiwst";0,00596601779977537
"alphaw";0,00497848570584618
"alphagw";0,00579375394166433
"alphapw";0,00566718543226015
"alphapO";0,00481915485241608
"nuf";0,00534452888554161
"nub";0,00647168277971465
"nug";0,00569266841354486
"nuh";0,00539986153634467
"nuw";0,00615501821521691
"shrDon";0,00510640500977314
"shrGrTax";0,00510640500977314
"shrGrIC";0,00510640500977314
"shrGrL";0,00510640500977314
"shrGrLFx";0,00510640500977314
"shrGrBw";0,00510640500977314
"md_lgtr";0,00510640500977314
"md_bgtr";0,00510640500977314
"K_0";0,00510640500977314
"lambdatr0";0,00510640500977314
"lambdatr1";0,00510640500977314
"lambdatr2";0,00510640500977314
"taumtr";0,00510640500977314
"tauothktr";0,00510640500977314
"betasigmamktr";0,00510640500977314
"reducXrO";0,00447808624692
"lambdatr0_adj";0,00510640500977314
"lambdatr1_adj";0,00510640500977314
"lambdatr2_adj";0,00510640500977314
"alpha_tr";0,00510640500977314
"beta_tr";0,00510640500977314
"gamma_tr";0,00510640500977314
"delta_tr";0,00510640500977314
"triggerFX";0,0056947898514319
"speedFX";0,00609011386712958
"speedTaum";0,00550098847649216
"triggerTaum";0,00604896658144298
"shareFX";0,00503792201203544
"tauCBAM0";0,00610795670342694
"tauCBAM1";0,00505426505849164
"sigmamktr0";0,00633175770401433
"sigmaaktr";0,0059375766525839
"epsilon2ktr";0,0064172376177959
"atr0";0,00564510179453322
"atr1";0,00405499601899467
"scenInv";0,00608160358811696
"mdds";0,00469119576092843
"decds";0,00522593647964424
"betadebtSwapFXLgFX";0,00510640500977314
"betadebtSwapFXBgFX";0,00510640500977314
"betadebtSwapFXLgFXtr";0,00510640500977314
"dsactive";0,00510640500977314
